Gender,FINAL GRADE,Exam,RESIT,Assignment 1,Assignment 2,Assignment 3
F,6,5.4,,9.5,6.6,6.5
M,6.5,6.3,,6.8,4.3,5.6
F,7.5,6.3,,9.8,9.7,9.9
F,7.5,6.7,,9.9,9.8,9.8
M,4,2.7,4,,,
F,6.5,6.4,,,,
F,8.5,7.7,,10,9.8,9.7
M,6.5,5.5,,9.9,7.9,9.2
M,6,3.3,4.6,9.5,9,9.4
M,8.5,,8.6,5.6,9.3,8.9
F,7,6.7,,9,5,8
F,1.5,1.3,,,,
M,6,5.5,,5.4,,
M,8,7.5,,9.6,9,9.5
M,4.5,4.4,,,,
M,8,7.2,,9.8,9.5,9.6
F,4.5,3.8,3,7.5,3.7,4.9
F,6.5,6.3,,8.3,6.5,7.5
M,9.5,9.2,,9.6,9.5,9.7
F,7.5,6.6,,9,8.9,9.6
F,6.5,5.9,,10,9.7,
M,7,5.8,,9.1,9.5,9.8
M,6.5,5.4,,10,7.8,9.5
M,9,9.1,,10,9.1,
F,7,5.8,,10,9,10
F,2.5,,2.1,7,,
F,8.5,7.8,,10,8.8,9.4
F,7.5,7.7,,6.5,6,
M,5,5.1,4.2,6.5,,6.8
M,7,6,,8.9,9.1,8.5
M,1,1.1,,,,
F,7,6.3,,8.8,9.2,10
F,7,6.5,,9.9,8.2,6.5
F,6.5,4,5.7,9.2,4.2,8.3
F,5,,4.8,,,
F,6,3.8,4.9,9,8.9,10
M,8,7.7,,9.5,7.9,8.9
M,7.5,,7.5,4.8,6.7,4.6
F,7,6.6,,9.5,5.3,
F,6,5.6,,,,
M,6,5.8,,,,
M,7,6.6,,5.6,7.5,8.6
M,6,5.6,,,,
M,6,5.1,,7.6,8.7,9.3
M,3.5,3.6,,,,
M,3.5,1.5,3.4,4.9,,
M,6,5.4,,9,6.8,8.2
M,6,5.2,,9.7,6.2,9.2
M,8,7.4,,9.3,9.4,9.9
M,6,5.3,,9.2,6.9,9.1
F,7.5,7.4,,8.1,6,8
F,7,6.2,,9.2,9,9.3
M,6.5,5.6,,9,6.8,7.6
M,7.5,6.8,,8.7,8.3,9.3
F,2.5,1.1,,7.2,5.5,6.4
M,8.5,8.1,,9.9,8.9,8.6
M,6,5.6,,7.1,,4.6
M,7.5,7.3,,9,5.6,8.3
M,9,8.6,,10,9.6,10
F,9,8.6,,9.7,9.3,9.4
M,9,8.6,,9.7,10,8.3
F,7.5,7.3,,5.6,,
F,6.5,5.6,,9,6.5,9
M,8,7.1,,10,9.1,9.5
M,7,6.9,,8.8,,
F,7,6.1,,9.5,8.5,8.3
M,6,3.7,5.9,,,
F,6.5,4,5.7,9.5,4.9,7.8
M,6,4.5,5.6,,,
F,8,7.3,,9.5,9.4,9.6
M,7,6.1,,8.8,9,9.3
M,8.5,8.2,,8.9,9.2,8.9
M,9.5,,9,10,9.5,10
M,8.5,8.3,,7.7,9,9.6
M,3,2.1,1,9.5,,
M,9,8.6,,9.5,9.5,9.5
M,7,6.2,,9.3,8.8,9.5
F,8.5,7.9,,9.8,9.4,9.8
F,6,5.5,,,,
F,8.5,8.5,,8,7.7,8.1
F,8.5,8.1,,10,6.6,8.4
F,6,5.6,,7.5,,
M,6,5.7,,,,
M,7,6.2,,9.7,8.9,9.5
M,9,8.7,,10,10,9.5
M,4.5,2.5,4.5,,,
F,6.5,6.2,,7.4,4.7,6.2
M,9.5,9.2,,9.5,8.7,9.4
F,6.5,,6.4,6.4,,
F,7.5,6.7,,9,8.3,9.5
M,6,4.8,,9.1,6.6,8
